,id,title,categories,date,closed,date_closed,geometries,year
0,EONET_4488,"Wildfires - Riverside County  (Hill Fire), California, United States",Wildfires,2019-10-30,False,,"{'type': 'Point', 'coordinates': [-117.46421, 33.98395]}",2019
1,EONET_4487,"Wildfires - Ventura County (Easy Fire), California, United States",Wildfires,2019-10-30,False,,"{'type': 'Point', 'coordinates': [-118.830489847, 34.267757086]}",2019
2,EONET_4485,Tropical Cyclone Maha,Severe Storms,2019-10-30,False,,"{'type': 'Point', 'coordinates': [74.8, 8.8]}",2019
3,EONET_4484,Tropical Storm Matmo,Severe Storms,2019-10-30,False,,"{'type': 'Point', 'coordinates': [111.9, 13.0]}",2019
4,EONET_4486,Subtropical Storm Rebekah,Severe Storms,2019-10-30,False,,"{'type': 'Point', 'coordinates': [-40.7, 38.3]}",2019
5,EONET_4482,"Wildfires - Port Macquarie (Crestwood Drive Fire), NSW, Australia",Wildfires,2019-10-28,False,,"{'type': 'Point', 'coordinates': [152.187986764, -31.0663827]}",2019
6,EONET_4483,"Wildfires - La Ligua (La Patagua Fire), Chile",Wildfires,2019-10-28,False,,"{'type': 'Point', 'coordinates': [-71.23004, -32.45146]}",2019
7,EONET_4481,"Wildfires - Los Angeles County (Getty Fire), California, United States",Wildfires,2019-10-28,False,,"{'type': 'Point', 'coordinates': [-118.480955374, 34.094028637]}",2019
8,EONET_4478,"Wildfires - San Diego County (Miller Fire), California, United States",Wildfires,2019-10-25,False,,"{'type': 'Point', 'coordinates': [-117.03197, 33.2659]}",2019
9,EONET_4477,"Wildfires - San Diego County (Sawday Fire), California, United States",Wildfires,2019-10-25,False,,"{'type': 'Point', 'coordinates': [-116.74528, 33.05314]}",2019
10,EONET_4479,Tropical Storm Pablo,Severe Storms,2019-10-25,False,,"{'type': 'Point', 'coordinates': [-32.2, 35.8]}",2019
11,EONET_4475,"Wildfires - Los Angeles County (Tick Fire), California, United States",Wildfires,2019-10-24,False,,"{'type': 'Point', 'coordinates': [-118.39468413, 34.457634347]}",2019
12,EONET_4476,"Wildfires - San Bernardino County (Old Water Fire), California, United States",Wildfires,2019-10-24,False,,"{'type': 'Point', 'coordinates': [-117.26913, 34.17922]}",2019
13,EONET_4474,"Wildfire -Sonoma County (Kincade Fire), California, United States",Wildfires,2019-10-24,False,,"{'type': 'Point', 'coordinates': [-122.807158563, 38.758962281]}",2019
14,EONET_4480,Tropical Cyclone Kyarr,Severe Storms,2019-10-24,False,,"{'type': 'Point', 'coordinates': [71.3, 15.6]}",2019
15,EONET_4472,Wildfires - Syria,Wildfires,2019-10-23,False,,"{'type': 'Point', 'coordinates': [36.08127, 35.51189]}",2019
16,EONET_4470,"Wildfires -Maui County (Kahana Ridge Fire), Maui, United States",Wildfires,2019-10-22,False,,"{'type': 'Point', 'coordinates': [-156.67282, 20.96287]}",2019
17,EONET_4468,"Wildfire - NW of Coeur dAlene, Idaho - United States",Wildfires,2019-10-22,False,,"{'type': 'Point', 'coordinates': [-116.943657099, 47.919183785]}",2019
18,EONET_4469,"Wildfire - S of Creston, British Columbia - Canada",Wildfires,2019-10-22,False,,"{'type': 'Point', 'coordinates': [-116.49819841, 48.47716924]}",2019
19,EONET_4471,"Wildfires - San Bernardino County (Beaumount Fire), California, United States",Wildfires,2019-10-22,False,,"{'type': 'Point', 'coordinates': [-117.25877, 34.04267]}",2019
20,EONET_4467,"Wildfires - Machali Commune (Río Cipreses Sector Maitenes Reserve Fire), Chile",Wildfires,2019-10-21,False,,"{'type': 'Point', 'coordinates': [-70.63195, -34.18948]}",2019
21,EONET_4466,"Wildfires - Los Angeles County (Palisades Fire), California, United States",Wildfires,2019-10-21,False,,"{'type': 'Point', 'coordinates': [-118.545420636, 34.057318351]}",2019
22,EONET_4464,Typhoon Bualoi,Severe Storms,2019-10-19,True,2019-10-30,"{'type': 'Point', 'coordinates': [155.1, 10.6]}",2019
23,EONET_4463,Tropical Storm Neoguri,Severe Storms,2019-10-17,True,2019-10-27,"{'type': 'Point', 'coordinates': [129.9, 19.6]}",2019
24,EONET_4465,Tropical Storm Nestor,Severe Storms,2019-10-17,True,2019-10-20,"{'type': 'Point', 'coordinates': [-95.2, 22.9]}",2019
25,EONET_4462,Wildfires - Lebanon,Wildfires,2019-10-16,False,,"{'type': 'Point', 'coordinates': [35.46019, 33.70215]}",2019
26,EONET_4473,"Masaya Volcano, Nicaragua",Volcanoes,2019-10-15,False,,"{'type': 'Point', 'coordinates': [-86.161, 11.984]}",2019
27,EONET_4461,Hunter Fire,Wildfires,2019-10-14,False,,"{'type': 'Point', 'coordinates': [-116.097, 40.897]}",2019
28,EONET_4459,Tropical Cyclone Ema,Severe Storms,2019-10-12,True,2019-10-19,"{'type': 'Point', 'coordinates': [-163.3, 19.6]}",2019
29,EONET_4457,"Wildfires - Riverside County (Wolf Fire), California, United States",Wildfires,2019-10-11,False,,"{'type': 'Point', 'coordinates': [-116.95485, 33.91219]}",2019
30,EONET_4458,"Wildfires - Los Angeles County (Saddleridge Fire), California, United States",Wildfires,2019-10-11,False,,"{'type': 'Point', 'coordinates': [-118.510869853, 34.324001137]}",2019
31,EONET_4448,"Wildfire - Riverside County (Sandalwood Fire), California, United States",Wildfires,2019-10-11,False,,"{'type': 'Point', 'coordinates': [-117.06467, 33.99314]}",2019
32,EONET_4460,Tropical Storm Melissa,Severe Storms,2019-10-11,True,2019-10-14,"{'type': 'Point', 'coordinates': [-69.5, 38.2]}",2019
33,EONET_4452,"Wildfire - SE of San Bernardino, California - United States",Wildfires,2019-10-10,False,,"{'type': 'Point', 'coordinates': [-117.158154189, 33.981369417]}",2019
34,EONET_4451,"Wildfires - Rappville, New South Wales, Australia",Wildfires,2019-10-10,False,,"{'type': 'Point', 'coordinates': [152.736746231, -29.23171939]}",2019
35,EONET_4450,"Wildfires - Livitaca, Peru",Wildfires,2019-10-10,False,,"{'type': 'Point', 'coordinates': [-72.05110614, -13.725949801]}",2019
36,EONET_4449,"Wildfires - Mariposa County (Briceburg Fire), California, United States",Wildfires,2019-10-08,False,,"{'type': 'Point', 'coordinates': [-119.93766407, 37.593694367]}",2019
37,EONET_4445,"Wildfires - Mariposa County (Briceburg Fire), California, United States",Wildfires,2019-10-08,False,,"{'type': 'Point', 'coordinates': [-119.938271098, 37.609361936]}",2019
38,EONET_4453,"Wildfires - Valparaiso (Foresta Fire), Chile",Wildfires,2019-10-08,False,,"{'type': 'Point', 'coordinates': [-71.59055, -33.05629]}",2019
39,EONET_4444,"Wildfires - Valparaiso (Foresta Fire), Chile",Wildfires,2019-10-08,False,,"{'type': 'Point', 'coordinates': [-71.59055, -33.05629]}",2019
40,EONET_4443,Super Typhoon Hagibis,Severe Storms,2019-10-05,True,2019-10-17,"{'type': 'Point', 'coordinates': [157.8, 14.9]}",2019
41,EONET_4442,"Wildfires - Maui (Pali Fire), Hawaii, United States",Wildfires,2019-10-03,False,,"{'type': 'Point', 'coordinates': [-156.53549, 20.8292]}",2019
42,EONET_4441,"Wildfires - Chaffee County (Decker Fire), Colorado, United States",Wildfires,2019-10-02,False,,"{'type': 'Point', 'coordinates': [-105.991435116, 38.468721385]}",2019
43,EONET_4456,Caples Fire,Wildfires,2019-09-30,False,,"{'type': 'Point', 'coordinates': [-120.145, 38.724]}",2019
44,EONET_4447,"Nevado del Ruiz Volcano, Colombia",Volcanoes,2019-09-29,False,,"{'type': 'Point', 'coordinates': [-75.324, 4.892]}",2019
45,EONET_4439,Topical Cyclone Narda,Severe Storms,2019-09-28,True,2019-10-06,"{'type': 'Point', 'coordinates': [-99.7, 14.6]}",2019
46,EONET_4438,Typhoon Mitag,Severe Storms,2019-09-27,True,2019-10-08,"{'type': 'Point', 'coordinates': [134.3, 15.0]}",2019
47,EONET_4440,Iceberg D28,Sea and Lake Ice,2019-09-27,False,,"{'type': 'Point', 'coordinates': [72.21, -68.55]}",2019
48,EONET_4437,"Wildfires - San Diego County (Willow Fire), California, United States",Wildfires,2019-09-25,False,,"{'type': 'Point', 'coordinates': [-116.97254, 32.80264]}",2019
49,EONET_4436,"Wildfires - Amador County (Electra Fire), California, United States",Wildfires,2019-09-25,False,,"{'type': 'Point', 'coordinates': [-120.51541, 38.47643]}",2019
50,EONET_4434,"Wildfires - Yavapai County (Johnson Fire), Arizona, United States",Wildfires,2019-09-23,False,,"{'type': 'Point', 'coordinates': [-112.46487, 34.54132]}",2019
51,EONET_4433,"Wildfires - Alhue Commune (Alhue Fire), Chile",Wildfires,2019-09-23,False,,"{'type': 'Point', 'coordinates': [-71.08511, -34.02574]}",2019
52,EONET_4432,Tropical Storm Lorenzo,Severe Storms,2019-09-23,True,2019-10-04,"{'type': 'Point', 'coordinates': [-24.1, 11.1]}",2019
53,EONET_4430,Tropical Storm Karen,Severe Storms,2019-09-22,True,2019-09-28,"{'type': 'Point', 'coordinates': [-60.2, 11.9]}",2019
54,EONET_4429,Tropical Cyclone Hikaa,Severe Storms,2019-09-22,True,2019-09-29,"{'type': 'Point', 'coordinates': [67.0, 20.5]}",2019
55,EONET_4431,Iceberg B47,Sea and Lake Ice,2019-09-20,False,,"{'type': 'Point', 'coordinates': [-130.28, -74.27]}",2019
56,EONET_4428,Tropical Storm Tapah,Severe Storms,2019-09-19,True,2019-09-27,"{'type': 'Point', 'coordinates': [128.0, 22.8]}",2019
57,EONET_4421,Tropical Storm Jerry,Severe Storms,2019-09-18,True,2019-09-26,"{'type': 'Point', 'coordinates': [-47.7, 14.1]}",2019
58,EONET_4425,"Wildfires - Zakynthos Island, Greece",Wildfires,2019-09-17,False,,"{'type': 'Point', 'coordinates': [20.83772, 37.78103]}",2019
59,EONET_4424,Tropical Storm Imelda,Severe Storms,2019-09-17,True,2019-09-18,"{'type': 'Point', 'coordinates': [-95.3, 29.3]}",2019
60,EONET_4422,Tropical Storm Mario,Severe Storms,2019-09-17,True,2019-09-28,"{'type': 'Point', 'coordinates': [-108.7, 12.3]}",2019
61,EONET_4423,Hurricane Lorena,Severe Storms,2019-09-17,True,2019-09-27,"{'type': 'Point', 'coordinates': [-101.3, 14.6]}",2019
62,EONET_4419,Tropical Cyclone Peipah,Severe Storms,2019-09-15,True,2019-09-21,"{'type': 'Point', 'coordinates': [147.9, 17.8]}",2019
63,EONET_4418,Hurricane Humberto,Severe Storms,2019-09-14,True,2019-09-21,"{'type': 'Point', 'coordinates': [-77.3, 27.4]}",2019
64,EONET_4415,Hurricane Kiko,Severe Storms,2019-09-12,True,2019-09-30,"{'type': 'Point', 'coordinates': [-111.5, 15.9]}",2019
65,EONET_4427,"Copahue Volcano, Chile-Argentina",Volcanoes,2019-09-11,False,,"{'type': 'Point', 'coordinates': [-71.183, -37.856]}",2019
66,EONET_4414,"Wildfire - Stewart Crossing, Yukon - Canada",Wildfires,2019-09-10,False,,"{'type': 'Point', 'coordinates': [-136.379061673, 63.344389606]}",2019
67,EONET_4411,"Wildfire - Siskiyou County, (Lime Fire), California, United States",Wildfires,2019-09-10,True,2019-09-20,"{'type': 'Point', 'coordinates': [-122.66519, 41.86425]}",2019
68,EONET_4412,"Wildfire -  Inyo County (Taboose Fire), California, United States",Wildfires,2019-09-10,False,,"{'type': 'Point', 'coordinates': [-118.366193744, 37.011279749]}",2019
69,EONET_4410,Meadow Creek Fire,Wildfires,2019-09-08,True,2019-10-24,"{'type': 'Point', 'coordinates': [-112.383, 38.873]}",2019
70,EONET_4397,"Wildfire - Plumas County (Walker Fire), California",Wildfires,2019-09-06,True,2019-10-24,"{'type': 'Point', 'coordinates': [-120.69481, 39.98337]}",2019
71,EONET_4396,"Wildfire - N of Oceanside [Tenaja Fire], California - United States",Wildfires,2019-09-05,False,,"{'type': 'Point', 'coordinates': [-117.2549, 33.55333]}",2019
72,EONET_4403,Neck Fire,Wildfires,2019-09-05,False,,"{'type': 'Point', 'coordinates': [-113.158, 38.104]}",2019
73,EONET_4402,Lone Fire,Wildfires,2019-09-05,True,2019-09-14,"{'type': 'Point', 'coordinates': [-121.056, 41.748]}",2019
74,EONET_4409,Hunt Fire,Wildfires,2019-09-05,True,2019-10-24,"{'type': 'Point', 'coordinates': [-108.316, 39.753]}",2019
75,EONET_4404,South Fire,Wildfires,2019-09-05,False,,"{'type': 'Point', 'coordinates': [-122.799, 40.109]}",2019
76,EONET_4420,Middle Fire,Wildfires,2019-09-05,False,,"{'type': 'Point', 'coordinates': [-123.014, 40.887]}",2019
77,EONET_4395,Tropical Storm Akoni,Severe Storms,2019-09-05,True,2019-09-11,"{'type': 'Point', 'coordinates': [-144.8, 12.2]}",2019
78,EONET_4407,Lime Fire KNF 2019,Wildfires,2019-09-04,True,2019-09-27,"{'type': 'Point', 'coordinates': [-122.67, 41.866]}",2019
79,EONET_4392,Tropical Storm Gabrielle,Severe Storms,2019-09-04,True,2019-09-11,"{'type': 'Point', 'coordinates': [-33.6, 19.6]}",2019
80,EONET_4393,Tropical Storm Fernand,Severe Storms,2019-09-03,True,2019-09-05,"{'type': 'Point', 'coordinates': [-95.9, 23.4]}",2019
81,EONET_4390,Cherry Fire,Wildfires,2019-09-02,True,2019-09-20,"{'type': 'Point', 'coordinates': [-115.646, 40.066]}",2019
82,EONET_4416,Amole Fire,Wildfires,2019-09-02,True,2019-10-24,"{'type': 'Point', 'coordinates': [-105.595, 36.2]}",2019
83,EONET_4417,Whiskey Fire,Wildfires,2019-09-02,True,2019-10-24,"{'type': 'Point', 'coordinates': [-111.84, 35.044]}",2019
84,EONET_4389,Typhoon Faxai,Severe Storms,2019-09-02,True,2019-09-14,"{'type': 'Point', 'coordinates': [164.9, 16.6]}",2019
85,EONET_4388,Typhoon Lingling,Severe Storms,2019-09-02,True,2019-09-12,"{'type': 'Point', 'coordinates': [125.1, 16.8]}",2019
86,EONET_4399,Fishhawk Fire,Wildfires,2019-09-02,False,,"{'type': 'Point', 'coordinates': [-109.881, 44.377]}",2019
87,EONET_4391,Hurricane Juliette,Severe Storms,2019-09-01,True,2019-09-12,"{'type': 'Point', 'coordinates': [-107.6, 13.2]}",2019
88,EONET_4454,Wildfires - Southern Switzerland ,Wildfires,2019-08-30,False,,"{'type': 'Point', 'coordinates': [7.06722, 46.22515]}",2019
89,EONET_4385,Wildfires - Southern Switzerland ,Wildfires,2019-08-30,False,,"{'type': 'Point', 'coordinates': [7.06722, 46.22515]}",2019
90,EONET_4394,Eden Fire,Wildfires,2019-08-29,True,2019-10-24,"{'type': 'Point', 'coordinates': [-111.268, 34.619]}",2019
91,EONET_4400,Montoya Springs Fire,Wildfires,2019-08-29,True,2019-10-24,"{'type': 'Point', 'coordinates': [-106.391, 36.48]}",2019
92,EONET_4384,R-1 Ranch Fire,Wildfires,2019-08-28,True,2019-09-05,"{'type': 'Point', 'coordinates': [-120.575, 40.589]}",2019
93,EONET_4383,"Wildfire - W of Cooper Landing (Swan Lake Fire), Alaska - USA",Wildfires,2019-08-28,False,,"{'type': 'Point', 'coordinates': [-150.100524857, 60.512322004]}",2019
94,EONET_4386,Mountain View Fire,Wildfires,2019-08-28,True,2019-09-09,"{'type': 'Point', 'coordinates': [-108.835, 45.817]}",2019
95,EONET_4380,Tropical Storm Erin,Severe Storms,2019-08-28,True,2019-08-30,"{'type': 'Point', 'coordinates': [-72.4, 32.5]}",2019
96,EONET_4379,Tropical Storm Podul,Severe Storms,2019-08-27,True,2019-09-03,"{'type': 'Point', 'coordinates': [120.7, 16.4]}",2019
97,EONET_4378,Long Valley Fire,Wildfires,2019-08-24,True,2019-09-05,"{'type': 'Point', 'coordinates': [-120.025, 39.88]}",2019
98,EONET_4377,Tropical Storm Dorian,Severe Storms,2019-08-24,True,2019-09-10,"{'type': 'Point', 'coordinates': [-49.1, 10.7]}",2019
99,EONET_4382,Pedro Mountain Fire,Wildfires,2019-08-24,False,,"{'type': 'Point', 'coordinates': [-106.897, 42.349]}",2019
100,EONET_4375,"Wildfire - Catemu and Panquehue, Chile",Wildfires,2019-08-23,False,,"{'type': 'Point', 'coordinates': [-70.89856, -32.78226]}",2019
101,EONET_4376,Gregerson Fire,Wildfires,2019-08-23,True,2019-09-05,"{'type': 'Point', 'coordinates': [-114.872, 37.21]}",2019
102,EONET_4371,"Wildfire - Shasta County, California - United States",Wildfires,2019-08-22,False,,"{'type': 'Point', 'coordinates': [-122.260619303, 40.700637964]}",2019
103,EONET_4405,Lava 18 Fire,Wildfires,2019-08-22,True,2019-10-24,"{'type': 'Point', 'coordinates': [-108.05, 34.933]}",2019
104,EONET_4367,"Wildfire -  La Ligua and Cabildo, Chile ",Wildfires,2019-08-21,False,,"{'type': 'Point', 'coordinates': [-71.13405, -32.45856]}",2019
105,EONET_4365,Tropical Storm Ivo,Severe Storms,2019-08-21,True,2019-08-25,"{'type': 'Point', 'coordinates': [-109.5, 15.8]}",2019
106,EONET_4426,"Alaid Volcano, Russia",Volcanoes,2019-08-21,False,,"{'type': 'Point', 'coordinates': [155.565, 50.861]}",2019
107,EONET_4362,Tropical Storm Chantal,Severe Storms,2019-08-21,True,2019-08-23,"{'type': 'Point', 'coordinates': [-56.2, 40.2]}",2019
108,EONET_4364,Tropical Storm Bailu,Severe Storms,2019-08-21,True,2019-08-24,"{'type': 'Point', 'coordinates': [130.0, 16.1]}",2019
109,EONET_4368,Vivian Fire,Wildfires,2019-08-20,True,2019-08-30,"{'type': 'Point', 'coordinates': [-99.753, 33.985]}",2019
110,EONET_4366,"Kadovar Volcano, Papua New Guinea",Volcanoes,2019-08-19,True,2019-08-19,"{'type': 'Point', 'coordinates': [144.588, -3.608]}",2019
111,EONET_4369,McKinley Fire,Wildfires,2019-08-18,True,2019-10-23,"{'type': 'Point', 'coordinates': [-150.058, 62.031]}",2019
112,EONET_4363,Deshka Landing Fire,Wildfires,2019-08-17,True,2019-09-16,"{'type': 'Point', 'coordinates': [-150.176, 61.712]}",2019
113,EONET_4401,McClusky Fire,Wildfires,2019-08-16,True,2019-10-03,"{'type': 'Point', 'coordinates': [-112.277, 46.014]}",2019
114,EONET_4360,Copper Breaks Fire,Wildfires,2019-08-16,True,2019-08-30,"{'type': 'Point', 'coordinates': [-99.766, 34.131]}",2019
115,EONET_4349,Wildfire - Western Greenland,Wildfires,2019-08-14,False,,"{'type': 'Point', 'coordinates': [-49.90071, 63.93236]}",2019
116,EONET_4347,"Wildfire - Evia Island, Greece",Wildfires,2019-08-13,False,,"{'type': 'Point', 'coordinates': [23.69786, 38.57855]}",2019
117,EONET_4352,Wood Canyon Fire,Wildfires,2019-08-13,True,2019-08-21,"{'type': 'Point', 'coordinates': [-118.198, 39.741]}",2019
118,EONET_4346,Wildfire - Canary Islands ,Wildfires,2019-08-12,False,,"{'type': 'Point', 'coordinates': [-15.6192, 28.07315]}",2019
119,EONET_4342,Tropical Storm Henriette,Severe Storms,2019-08-12,True,2019-08-14,"{'type': 'Point', 'coordinates': [-110.9, 19.5]}",2019
120,EONET_4343,"Wildfire - Kihei, Maui, USA",Wildfires,2019-08-11,False,,"{'type': 'Point', 'coordinates': [-156.43251, 20.74826]}",2019
121,EONET_4355,"Sarychev Peak Volcano, Russia",Volcanoes,2019-08-11,True,2019-08-11,"{'type': 'Point', 'coordinates': [153.2, 48.092]}",2019
122,EONET_4372,204 Cow Fire,Wildfires,2019-08-09,True,2019-10-24,"{'type': 'Point', 'coordinates': [-118.466, 44.284]}",2019
123,EONET_4341,"Wildfire - Sardinia, Italy",Wildfires,2019-08-09,True,2019-08-09,"{'type': 'Point', 'coordinates': [9.35618, 40.37728]}",2019
124,EONET_4344,Ward Fire,Wildfires,2019-08-09,True,2019-08-28,"{'type': 'Point', 'coordinates': [-112.175, 42.033]}",2019
125,EONET_4370,"Unnamed Volcano, Tonga",Volcanoes,2019-08-09,True,2019-08-09,"{'type': 'Point', 'coordinates': [-174.365, -18.325]}",2019
126,EONET_4356,Rawhide Fire,Wildfires,2019-08-08,True,2019-09-04,"{'type': 'Point', 'coordinates': [-104.786, 32.321]}",2019
127,EONET_4337,"Wildfire - Torres del Paine, Chile",Wildfires,2019-08-08,False,,"{'type': 'Point', 'coordinates': [-72.49111, -51.21475]}",2019
128,EONET_4338,W-1 Fire (now McDonald Fire),Wildfires,2019-08-08,True,2019-08-14,"{'type': 'Point', 'coordinates': [-120.308, 40.962]}",2019
129,EONET_4354,"Asamayama Volcano, Japan",Volcanoes,2019-08-07,True,2019-08-25,"{'type': 'Point', 'coordinates': [138.523, 36.406]}",2019
130,EONET_4357,Pemberton Fire,Wildfires,2019-08-06,True,2019-08-28,"{'type': 'Point', 'coordinates': [-112.68, 34.718]}",2019
131,EONET_4345,Wildfires - Central South Africa ,Wildfires,2019-08-06,False,,"{'type': 'Point', 'coordinates': [26.0251, -27.83666]}",2019
132,EONET_4324,Typhoon Krosa,Severe Storms,2019-08-06,True,2019-08-21,"{'type': 'Point', 'coordinates': [143.7, 17.9]}",2019
133,EONET_4350,Boulin Fire,Wildfires,2019-08-05,True,2019-09-05,"{'type': 'Point', 'coordinates': [-112.011, 35.393]}",2019
134,EONET_4358,Trumbull Fire,Wildfires,2019-08-05,True,2019-09-05,"{'type': 'Point', 'coordinates': [-113.141, 36.412]}",2019
135,EONET_4325,"Wildfire - Segovia, Spain",Wildfires,2019-08-05,False,,"{'type': 'Point', 'coordinates': [-4.10885, 40.94313]}",2019
136,EONET_4331,Horsefly Fire,Wildfires,2019-08-05,True,2019-09-05,"{'type': 'Point', 'coordinates': [-112.441, 46.963]}",2019
137,EONET_4336,HK Complex Fire,Wildfires,2019-08-05,True,2019-10-24,"{'type': 'Point', 'coordinates': [-119.463, 45.045]}",2019
138,EONET_4359,Sheridan Fire,Wildfires,2019-08-05,True,2019-10-24,"{'type': 'Point', 'coordinates': [-112.89, 34.678]}",2019
139,EONET_4327,Shafter Fire,Wildfires,2019-08-04,True,2019-08-13,"{'type': 'Point', 'coordinates': [-114.561, 40.731]}",2019
140,EONET_4326,Goose Fire,Wildfires,2019-08-04,True,2019-08-28,"{'type': 'Point', 'coordinates': [-114.166, 41.937]}",2019
141,EONET_4328,Corta Fire,Wildfires,2019-08-04,True,2019-09-04,"{'type': 'Point', 'coordinates': [-115.619, 40.312]}",2019
142,EONET_4373,Triple Nickle Fire,Wildfires,2019-08-04,True,2019-09-12,"{'type': 'Point', 'coordinates': [-107.527, 35.345]}",2019
143,EONET_4335,Nethker Fire,Wildfires,2019-08-04,True,2019-10-24,"{'type': 'Point', 'coordinates': [-115.93, 45.246]}",2019
144,EONET_4329,"Eagle Bluff Fire, British Columbia, Canada",Wildfires,2019-08-04,True,2019-08-24,"{'type': 'Point', 'coordinates': [-119.5046333, 49.2534833]}",2019
145,EONET_4320,Super Typhoon Lekima,Severe Storms,2019-08-04,True,2019-08-13,"{'type': 'Point', 'coordinates': [131.2, 17.6]}",2019
146,EONET_4333,"Awu Volcano, Indonesia",Volcanoes,2019-08-04,True,2019-08-04,"{'type': 'Point', 'coordinates': [125.447, 3.689]}",2019
147,EONET_4332,Verde Fire,Wildfires,2019-08-03,True,2019-08-28,"{'type': 'Point', 'coordinates': [-111.595, 33.729]}",2019
148,EONET_4321,Cove Creek Fire,Wildfires,2019-08-03,True,2019-10-03,"{'type': 'Point', 'coordinates': [-114.453, 45.328]}",2019
149,EONET_4339,Ghost Fire,Wildfires,2019-08-03,True,2019-08-28,"{'type': 'Point', 'coordinates': [-108.411, 33.662]}",2019
150,EONET_4330,Snow Creek Fire,Wildfires,2019-08-02,True,2019-09-05,"{'type': 'Point', 'coordinates': [-113.4, 47.703]}",2019
151,EONET_4361,Saber Fire,Wildfires,2019-08-02,True,2019-10-24,"{'type': 'Point', 'coordinates': [-111.901, 35.011]}",2019
152,EONET_4322,Williams Flats Fire,Wildfires,2019-08-02,True,2019-08-27,"{'type': 'Point', 'coordinates': [-118.624, 47.98]}",2019
153,EONET_4315,Tropical Storm Francisco,Severe Storms,2019-08-02,True,2019-08-12,"{'type': 'Point', 'coordinates': [152.7, 20.0]}",2019
154,EONET_4316,"Wildfire - W of Pukalani, HI, United States ",Wildfires,2019-08-01,False,,"{'type': 'Point', 'coordinates': [-156.37192, 20.83657]}",2019
155,EONET_4318,Ridgetop Fire,Wildfires,2019-08-01,True,2019-08-08,"{'type': 'Point', 'coordinates': [-108.225, 47.501]}",2019
156,EONET_4313,"Wildfire - Sardinia, Italy",Wildfires,2019-07-31,True,2019-08-03,"{'type': 'Point', 'coordinates': [8.9824, 40.09573]}",2019
157,EONET_4312,Wildfires - Southern France ,Wildfires,2019-07-31,False,,"{'type': 'Point', 'coordinates': [3.46067, 44.42811]}",2019
158,EONET_4308,Tropical Storm Wipha,Severe Storms,2019-07-31,True,2019-08-08,"{'type': 'Point', 'coordinates': [112.2, 19.4]}",2019
159,EONET_4304,"Wildfire - Douglas (Mile Post 97), Oregon, United States",Wildfires,2019-07-29,True,2019-07-30,"{'type': 'Point', 'coordinates': [-123.1295, 43.32255]}",2019
160,EONET_4303,"Wildfire - Rural Municipality of Maple Creek, Saskatchewan, Canada ",Wildfires,2019-07-29,False,,"{'type': 'Point', 'coordinates': [-109.48024, 49.90641]}",2019
161,EONET_4300,Hurricane Flossie,Severe Storms,2019-07-29,True,2019-08-11,"{'type': 'Point', 'coordinates': [-112.3, 12.5]}",2019
162,EONET_4314,Tucker Fire,Wildfires,2019-07-28,True,2019-08-11,"{'type': 'Point', 'coordinates': [-121.243, 41.726]}",2019
163,EONET_4446,Middle Mamm Fire,Wildfires,2019-07-28,False,,"{'type': 'Point', 'coordinates': [-107.788, 39.369]}",2019
164,EONET_4299,Hurricane Erick,Severe Storms,2019-07-27,True,2019-08-10,"{'type': 'Point', 'coordinates': [-124.5, 11.5]}",2019
165,EONET_4302,"Wildfire MB-NE083, Manitoba, Canada",Wildfires,2019-07-27,True,2019-08-15,"{'type': 'Point', 'coordinates': [-97.2961, 59.0228]}",2019
166,EONET_4374,Little Bear Fire,Wildfires,2019-07-26,True,2019-09-12,"{'type': 'Point', 'coordinates': [-112.319, 37.589]}",2019
167,EONET_4353,Springs Fire,Wildfires,2019-07-26,True,2019-10-24,"{'type': 'Point', 'coordinates': [-118.872, 37.826]}",2019
168,EONET_4317,Poison Canyon  Fire,Wildfires,2019-07-26,True,2019-08-28,"{'type': 'Point', 'coordinates': [-109.799, 37.834]}",2019
169,EONET_4298,"Wildfire - Lewis and Clark (North Hills), Montana, United States",Wildfires,2019-07-26,True,2019-08-19,"{'type': 'Point', 'coordinates': [-111.952, 46.751]}",2019
170,EONET_4310,"Tangkubanparahu Volcano, Indonesia",Volcanoes,2019-07-26,False,,"{'type': 'Point', 'coordinates': [107.6, -6.77]}",2019
171,EONET_4294,Wildfires - Southwestern Slovenia,Wildfires,2019-07-25,False,,"{'type': 'Point', 'coordinates': [14.1524, 45.68901]}",2019
172,EONET_4293,Tropical Storm Nari,Severe Storms,2019-07-25,True,2019-08-01,"{'type': 'Point', 'coordinates': [137.2, 28.1]}",2019
173,EONET_4387,Cow Fire,Wildfires,2019-07-25,True,2019-10-24,"{'type': 'Point', 'coordinates': [-118.228, 36.284]}",2019
174,EONET_4351,Ikes Fire,Wildfires,2019-07-25,False,,"{'type': 'Point', 'coordinates': [-112.285, 36.349]}",2019
175,EONET_4297,"Wildfire - Douglas (Mile Post 97), Oregon, United States",Wildfires,2019-07-24,True,2019-08-26,"{'type': 'Point', 'coordinates': [-123.268, 42.913]}",2019
176,EONET_4307,"Wildfire MB-NE069, Manitoba, Canada",Wildfires,2019-07-24,True,2019-08-11,"{'type': 'Point', 'coordinates': [-94.8333, 55.7167]}",2019
177,EONET_4289,"Wildfires - Yukon, Canada",Wildfires,2019-07-23,False,,"{'type': 'Point', 'coordinates': [-135.70311136, 63.91811662]}",2019
